nombre,X_Coordinate,Y_Coordinate,Shape_Length,Shape_Area
Popular,4718611.922462015,2254112.982703273,9604.447483556913,3097940.827732239
Santa Cruz,4717471.901390271,2254648.311123495,8597.293651496906,2195662.6284617903
Manrique,4718479.60763957,2251852.493695912,12077.558707999233,5096182.131995531
Aranjuez,4716680.2916398095,2252195.029419798,9642.676521959884,4883314.140121121
Castilla,4715903.412084993,2253981.999643141,16098.031666492969,6063915.6247931495
Doce de Octubre,4714743.451129568,2254761.3938770983,10709.846514087652,3849811.996337703
Robledo,4713275.711336649,2252410.442102353,23265.232357307657,9462007.787774287
Villa Hermosa,4718584.283007639,2249006.5964567186,16392.858636688892,5716967.879701792
Buenos Aires,4717615.286810038,2247244.748238594,18364.90123390961,6052668.249575188
La Candelaria,4715944.53219838,2249048.1243155734,13632.701741921632,7360811.122944673
Laureles Estadio,4713343.505862651,2249368.142255748,16365.175401920807,7402669.306983
La América,4711800.387881924,2249823.217872609,15425.496036223583,3973306.891808559
San Javier,4710446.833379285,2250061.4652752504,26384.222424049294,4849278.869611957
El Poblado,4716105.141383168,2243895.5048163435,19965.688224099635,14414322.974759718
Guayabal,4713893.913108434,2245262.8041605293,13279.241952554396,7288420.653708949
Belén,4712464.646414882,2246614.074433245,25695.015716947,8856231.995996315
San Sebastián de Palmitas,4702567.67332652,2257955.731809993,38399.21125514284,57799202.45209739
San Cristóbal,4708034.050189203,2253812.222023098,51162.61634315769,54112792.28369451
Altavista,4708517.330009378,2246822.6598188984,35012.58319757013,28725783.228357293
San Antonio de Prado,4704270.352085675,2245613.0636258298,40472.28324821752,60567771.54894201
Santa Elena,4721626.54433208,2247611.589489931,66527.05448681129,74114152.93453969
