LOCALIDAD;LONGITUD;LATITUD;CODIGO;gp
BARRIOS UNIDOS;-74.084;4.6664;12;-74.084, 4.6664
ENGATIVÁ;-74.1072;4.7071000000000005;10;-74.1072, 4.7071000000000005
SUMAPAZ;-74.315224;4.034746;20;-74.315224, 4.034746
TEUSAQUILLO;-74.0938;4.6448;13;-74.0938, 4.6448
LA CANDELARIA;-74.0739;4.5939;17;-74.0739, 4.5939
SANTA FE;-74.0298;4.5963;3;-74.0298, 4.5963
SUBA;-74.0824;4.7652;11;-74.0824, 4.7652
FONTIBÓN;-74.1479;4.6832;9;-74.1479, 4.6832
LOS MÁRTIRES;-74.0913;4.603;14;-74.0913, 4.603
SAN CRISTOBAL;-74.0883;4.5463000000000005;4;-74.0883, 4.5463000000000005
USME;-74.1033;4.4766;5;-74.1033, 4.4766
CHAPINERO;-74.0467;4.6569;2;-74.0467, 4.6569
TUNJUELITO;-74.1407;4.5875;6;-74.1407, 4.5875
ANTONIO NARIÑO;-74.1009;4.5486;15;-74.1009, 4.5486
PUENTE ARANDA;-74.1227;4.6149000000000004;16;-74.1227, 4.6149000000000004
USAQUÉN;-74.0312;4.7485;1;-74.0312, 4.7485
BOGOTÁ;-74.08175;4.60971;0;-74.08175, 4.60971
BOSA;-74.1945;4.6305;7;-74.1945, 4.6305
CIUDAD BOLÍVAR;-74.1539;4.5066;19;-74.1539, 4.5066
RAFAEL URIBE URIBE;-74.1164;4.5653;18;-74.1164, 4.5653
KENNEDY;-74.1573;4.6268;8;-74.1573, 4.6268
