,LOCALIDAD,Ciudad,LATITUD,LONGITUD,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,Popular,Medellín,6.2933437,-75.5448249,136986,140218,143039,145235,147382,149586,152365,154823,157097,159185,161056,162647,164029,,,,,
1,Santa Cruz,Medellín,6.2969558,-75.5548517,113064,115588,117744,119374,120959,122573,124610,126425,128072,129542,130835,131961,132892,,,,,
2,Manrique,Medellín,6.2750611,-75.545892,164858,168724,172090,174692,177232,179793,182988,185895,188577,190985,193138,195105,196795,,,,,
3,Aranjuez,Medellín,6.2777235,-75.5625988,141312,142990,144233,144815,145325,145837,146611,147250,147680,147905,147885,147721,147337,,,,,
4,Castilla,Medellín,6.2936989,-75.5682636,123992,125276,126200,126587,126939,127289,127722,128067,128261,128292,128147,127765,127202,,,,,
5,Doce de Octubre,Medellín,6.297565,-75.5775562,177190,179493,181235,182165,183012,183889,185191,186227,187015,187521,187763,187738,187428,,,,,
6,Robledo,Medellín,6.2790741,-75.5887669,189238,194042,198274,201656,204954,208305,212453,216194,219669,222840,225717,228344,230614,,,,,
7,Villa Hermosa,Medellín,6.2585331,-75.5512674,153216,157668,161728,165061,168399,171776,175756,179508,183078,186425,189545,192463,195149,,,,,
8,Buenos Aires,Medellín,6.24379,-75.5567824,155391,160045,164279,167860,171416,175014,179159,183086,186832,190341,193632,196755,199606,,,,,
9,La Candelaria,Medellín,6.2501048,-75.5680187,75913,77053,77926,78478,78937,79404,79892,80444,80892,81199,81409,81582,81671,,,,,
10,Laureles Estadio,Medellín,6.2560386,-75.581122,99904,100749,101316,101473,101632,101796,101396,101487,101456,101296,101045,100710,100257,,,,,
11,La América,Medellín,6.2507013,-75.6079043,85416,86403,87128,87489,87849,88207,88382,88714,88925,89020,89028,88931,88710,,,,,
12,San Javier,Medellín,6.2562742,-75.6215434,157243,161562,165436,168649,171854,175122,178903,182447,185812,188970,191916,194582,197006,,,,,
13,El Poblado,Medellín,6.2006197,-75.5636832,106805,108345,109600,110479,111343,112257,112850,113594,114223,114730,115127,115272,115267,,,,,
14,Guayabal,Medellín,6.2061369,-75.5878955,64651,65011,65146,65024,64856,64713,64509,64320,64052,63691,63261,62714,62086,,,,,
15,Belén,Medellín,6.2258758,-75.6004937,202931,206745,210015,212479,214967,217501,219847,222266,224468,226416,228107,229308,230195,,,,,
16,San Sebastián de Palmitas,Medellín,6.2292208,-75.564886,5474,5689,5885,6073,6281,6485,6712,6936,7151,7365,7577,7787,7989,,,,,
17,San Cristóbal,Medellín,6.2795124,-75.6186011,116420,123483,130514,137277,144316,151677,160320,168924,177709,186673,195761,205111,214593,,,,,
18,Altavista,Medellín,6.2279645,-75.6070238,38856,40150,41350,42442,43556,44665,45978,47189,48379,49542,50641,51659,52627,,,,,
19,San Antonio de Prado,Medellín,6.18333,-75.6667,94801,99358,103822,107996,112336,116838,121944,126953,131958,137011,142026,146934,151793,,,,,
20,Santa Elena,Medellín,6.2538122,-75.538472076,23468,24953,26464,27916,29413,31002,32855,34715,36606,38536,40509,42551,44644,,,,,
0,ANTONIO NARIÑO,Bogotá,4.5486,-74.1009,158458,160190,162944,164402,165916,167850,169958,172238,174408,176628,178644,180806,182386,184102.0,185814.0,187430.0,189072.0,190580.0
1,BARRIOS UNIDOS,Bogotá,4.6664,-74.084,266252,276632,286530,293752,300302,306684,312536,318326,323532,328406,332678,336724,340290,343704.0,346858.0,349606.0,352058.0,354144.0
2,BOSA,Bogotá,4.6305,-74.1945,1388794,1414346,1435388,1445786,1452586,1459562,1467480,1475294,1483074,1491224,1499368,1506456,1512954,1519668.0,1525672.0,1531422.0,1536374.0,1542590.0
3,CHAPINERO,Bogotá,4.6569,-74.0467,312958,326296,339572,346706,352942,358812,364206,369514,374410,379104,383358,387552,391374,395190.0,398152.0,401752.0,405284.0,408242.0
4,CIUDAD BOLÍVAR,Bogotá,4.5066,-74.1539,1226254,1257340,1282612,1299668,1312030,1323184,1333618,1343340,1352316,1360884,1374476,1388136,1401446,1414616.0,1427426.0,1439738.0,1451596.0,1463006.0
5,ENGATIVÁ,Bogotá,4.7071,-74.1072,1585036,1605560,1622944,1628200,1630524,1634038,1638882,1644738,1651266,1658516,1666036,1674554,1679234,1684308.0,1688818.0,1692592.0,1695728.0,1698106.0
6,FONTIBÓN,Bogotá,4.6832,-74.1479,731768,754236,773728,787064,798040,808504,816310,823276,830108,837034,843736,850528,857018,863496.0,869754.0,875660.0,881322.0,886592.0
7,KENNEDY,Bogotá,4.6268,-74.1573,2039496,2054746,2068758,2069676,2068586,2070448,2075858,2082572,2090706,2100004,2109918,2118828,2127844,2136292.0,2144006.0,2150866.0,2156908.0,2162086.0
8,LA CANDELARIA,Bogotá,4.5939,-74.0739,34150,34690,35222,35754,36286,36818,37350,37882,38414,38946,39478,40010,40542,41074.0,41606.0,42138.0,42670.0,43202.0
9,LOS MÁRTIRES,Bogotá,4.603,-74.0913,146554,165914,167180,166852,166284,165696,166002,165654,165528,165380,165244,165662,166042,166858.0,168034.0,169362.0,171028.0,173184.0
10,PUENTE ARANDA,Bogotá,4.6149,-74.1227,485810,494474,501936,506734,510246,513462,516068,518628,520742,522614,524074,525492,526540,527530.0,528312.0,528772.0,528996.0,528920.0
11,RAFAEL URIBE URIBE,Bogotá,4.5653,-74.1164,729064,745962,760146,767920,773392,778476,783176,787738,791972,796090,799952,803830,807536,811402.0,815068.0,818440.0,821648.0,824562.0
12,SAN CRISTOBAL,Bogotá,4.5463,-74.0883,771028,784644,794820,802120,807348,812996,818212,823140,827644,832170,835740,839776,846264,852670.0,859352.0,865888.0,872174.0,878098.0
13,SANTA FE,Bogotá,4.5963,-74.0298,207970,211852,214916,215568,215260,215354,215812,215702,216952,217620,218314,219374,220914,222932.0,224908.0,227168.0,229404.0,231944.0
14,SUBA,Bogotá,4.7652,-74.0824,2304774,2385288,2455574,2505622,2547818,2588716,2626906,2665916,2703302,2739674,2774934,2807774,2839574,2869716.0,2898184.0,2924380.0,2948676.0,2970710.0
15,SUMAPAZ,Bogotá,4.034746,-74.315224,6276,6596,6898,7168,7426,7650,7852,8042,8222,8386,8540,8682,8814,8938.0,9056.0,9166.0,9270.0,9370.0
16,TEUSAQUILLO,Bogotá,4.6448,-74.0938,289052,304828,322444,335758,335314,332856,330876,328768,326782,325098,323476,322534,321472,320850.0,320302.0,320092.0,320082.0,320096.0
17,TUNJUELITO,Bogotá,4.5875,-74.1407,343264,350962,357334,360316,362952,365886,368984,372254,375396,378604,379942,381380,382516,383692.0,384814.0,385702.0,386512.0,387054.0
18,USAQUÉN,Bogotá,4.7485,-74.0312,1071386,1101412,1129078,1142536,1158894,1173908,1189222,1204824,1222152,1239666,1257056,1274698,1292064,1309456.0,1326614.0,1343334.0,1359792.0,1375770.0
19,USME,Bogotá,4.4766,-74.1033,726788,749774,769886,786732,801160,815290,829990,844978,859916,874976,889920,905034,924576,940938.0,957134.0,973130.0,989014.0,1004548.0
