Comuna;Latitud;Longitud
Popular;6.2933437;-75.5448249
Santa Cruz;6.2969558;-75.5548517
Manrique;6.2750611;-75.545892
Aranjuez;6.2777235;-75.5625988
Castilla;6.2936989;-75.5682636
Doce de Octubre;6.297565;-75.5775562
Robledo;6.2790741;-75.5887669
Villa Hermosa;6.2585331;-75.5512674
Buenos Aires;6.24379;-75.5567824
La Candelaria;6.2501048;-75.5680187
Laureles Estadio;6.2560386;-75.581122
La América;6.2507013;-75.6079043
San Javier;6.2562742;-75.6215434
El Poblado;6.2006197;-75.5636832
Guayabal;6.2061369;-75.5878955
Belén;6.2258758;-75.6004937
San Sebastián de Palmitas;6.2292208;-75.564886
San Cristóbal;6.2795124;-75.6186011
Altavista;6.2279645;-75.6070238
San Antonio de Prado;6.18333;-75.6667
Santa Elena;6.2538122000000005;-75.53847207597431
