BARRIO,COD_LOC,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,Ciudad,LOCALIDAD,LONGITUD,LATITUD,CODIGO,gp
Antonio Nariño,15,158458,160190,162944,164402,165916,167850,169958,172238,174408,176628,178644,180806,182386,184102,185814,187430,189072,190580,Bogotá,ANTONIO NARIÑO,-74.1009,4.5486,15,"-74.1009, 4.5486"
Barrios Unidos,12,266252,276632,286530,293752,300302,306684,312536,318326,323532,328406,332678,336724,340290,343704,346858,349606,352058,354144,Bogotá,BARRIOS UNIDOS,-74.084,4.6664,12,"-74.084, 4.6664"
Bosa,7,1388794,1414346,1435388,1445786,1452586,1459562,1467480,1475294,1483074,1491224,1499368,1506456,1512954,1519668,1525672,1531422,1536374,1542590,Bogotá,BOSA,-74.1945,4.6305,7,"-74.1945, 4.6305"
Chapinero,2,312958,326296,339572,346706,352942,358812,364206,369514,374410,379104,383358,387552,391374,395190,398152,401752,405284,408242,Bogotá,CHAPINERO,-74.0467,4.6569,2,"-74.0467, 4.6569"
Ciudad Bolivar,19,1226254,1257340,1282612,1299668,1312030,1323184,1333618,1343340,1352316,1360884,1374476,1388136,1401446,1414616,1427426,1439738,1451596,1463006,Bogotá,CIUDAD BOLÍVAR,-74.1539,4.5066,19,"-74.1539, 4.5066"
Engativá,10,1585036,1605560,1622944,1628200,1630524,1634038,1638882,1644738,1651266,1658516,1666036,1674554,1679234,1684308,1688818,1692592,1695728,1698106,Bogotá,ENGATIVÁ,-74.1072,4.7071,10,"-74.1072, 4.7071000000000005"
Fontibón,9,731768,754236,773728,787064,798040,808504,816310,823276,830108,837034,843736,850528,857018,863496,869754,875660,881322,886592,Bogotá,FONTIBÓN,-74.1479,4.6832,9,"-74.1479, 4.6832"
Kennedy,8,2039496,2054746,2068758,2069676,2068586,2070448,2075858,2082572,2090706,2100004,2109918,2118828,2127844,2136292,2144006,2150866,2156908,2162086,Bogotá,KENNEDY,-74.1573,4.6268,8,"-74.1573, 4.6268"
La Candelaria,17,34150,34690,35222,35754,36286,36818,37350,37882,38414,38946,39478,40010,40542,41074,41606,42138,42670,43202,Bogotá,LA CANDELARIA,-74.0739,4.5939,17,"-74.0739, 4.5939"
Los Mártires,14,146554,165914,167180,166852,166284,165696,166002,165654,165528,165380,165244,165662,166042,166858,168034,169362,171028,173184,Bogotá,LOS MÁRTIRES,-74.0913,4.603,14,"-74.0913, 4.603"
Puente Aranda,16,485810,494474,501936,506734,510246,513462,516068,518628,520742,522614,524074,525492,526540,527530,528312,528772,528996,528920,Bogotá,PUENTE ARANDA,-74.1227,4.6149,16,"-74.1227, 4.6149000000000004"
Rafael Uribe Uribe,18,729064,745962,760146,767920,773392,778476,783176,787738,791972,796090,799952,803830,807536,811402,815068,818440,821648,824562,Bogotá,RAFAEL URIBE URIBE,-74.1164,4.5653,18,"-74.1164, 4.5653"
San Cristóbal,4,771028,784644,794820,802120,807348,812996,818212,823140,827644,832170,835740,839776,846264,852670,859352,865888,872174,878098,Bogotá,SAN CRISTOBAL,-74.0883,4.5463,4,"-74.0883, 4.5463000000000005"
Santa Fe,3,207970,211852,214916,215568,215260,215354,215812,215702,216952,217620,218314,219374,220914,222932,224908,227168,229404,231944,Bogotá,SANTA FE,-74.0298,4.5963,3,"-74.0298, 4.5963"
Suba,11,2304774,2385288,2455574,2505622,2547818,2588716,2626906,2665916,2703302,2739674,2774934,2807774,2839574,2869716,2898184,2924380,2948676,2970710,Bogotá,SUBA,-74.0824,4.7652,11,"-74.0824, 4.7652"
Sumapaz,20,6276,6596,6898,7168,7426,7650,7852,8042,8222,8386,8540,8682,8814,8938,9056,9166,9270,9370,Bogotá,SUMAPAZ,-74.315224,4.034746,20,"-74.315224, 4.034746"
Teusaquillo,13,289052,304828,322444,335758,335314,332856,330876,328768,326782,325098,323476,322534,321472,320850,320302,320092,320082,320096,Bogotá,TEUSAQUILLO,-74.0938,4.6448,13,"-74.0938, 4.6448"
Tunjuelito,6,343264,350962,357334,360316,362952,365886,368984,372254,375396,378604,379942,381380,382516,383692,384814,385702,386512,387054,Bogotá,TUNJUELITO,-74.1407,4.5875,6,"-74.1407, 4.5875"
Usaquén,1,1071386,1101412,1129078,1142536,1158894,1173908,1189222,1204824,1222152,1239666,1257056,1274698,1292064,1309456,1326614,1343334,1359792,1375770,Bogotá,USAQUÉN,-74.0312,4.7485,1,"-74.0312, 4.7485"
Usme,5,726788,749774,769886,786732,801160,815290,829990,844978,859916,874976,889920,905034,924576,940938,957134,973130,989014,1004548,Bogotá,USME,-74.1033,4.4766,5,"-74.1033, 4.4766"
