,LOCALIDAD,X_Coordinate,Y_Coordinate,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Ciudad,LATITUD,LONGITUD
0,Popular,4718611.92246,2254112.9827,136986,140218,143039,145235,147382,149586,152365,154823,157097,159185,161056,162647,164029,,Medellín,16.4713890379,-43.846332533
1,Santa Cruz,4717471.90139,2254648.31112,113064,115588,117744,119374,120959,122573,124610,126425,128072,129542,130835,131961,132892,,Medellín,16.4770079983,-43.8539721433
2,Manrique,4718479.60764,2251852.4937,164858,168724,172090,174692,177232,179793,182988,185895,188577,190985,193138,195105,196795,,Medellín,16.4553321188,-43.8509492731
3,Aranjuez,4716680.29164,2252195.02942,141312,142990,144233,144815,145325,145837,146611,147250,147680,147905,147885,147721,147337,,Medellín,16.4605835168,-43.8638151877
4,Castilla,4715903.41208,2253981.99964,123992,125276,126200,126587,126939,127289,127722,128067,128261,128292,128147,127765,127202,,Medellín,16.4746455841,-43.8667390015
5,Doce de Octubre,4714743.45113,2254761.39388,177190,179493,181235,182165,183012,183889,185191,186227,187015,187521,187763,187738,187428,,Medellín,16.4820524176,-43.8741378391
6,Robledo,4713275.71134,2252410.4421,189238,194042,198274,201656,204954,208305,212453,216194,219669,222840,225717,228344,230614,,Medellín,16.4674065827,-43.8888612334
7,Villa Hermosa,4718584.28301,2249006.59646,153216,157668,161728,165061,168399,171776,175756,179508,183078,186425,189545,192463,195149,,Medellín,16.4346955368,-43.8547335274
8,Buenos Aires,4717615.28681,2247244.74824,155391,160045,164279,167860,171416,175014,179159,183086,186832,190341,193632,196755,199606,,Medellín,16.4235171083,-43.8647800653
9,La Candelaria,4715944.5322,2249048.12432,75913,77053,77926,78478,78937,79404,79892,80444,80892,81199,81409,81582,81671,,Medellín,16.4390772284,-43.8743487153
10,Laureles Estadio,4713343.50586,2249368.14226,99904,100749,101316,101473,101632,101796,101396,101487,101456,101296,101045,100710,100257,,Medellín,16.4454029781,-43.8932344146
11,La América,4711800.38788,2249823.21787,85416,86403,87128,87489,87849,88207,88382,88714,88925,89020,89028,88931,88710,,Medellín,16.4510654149,-43.9040163744
12,San Javier,4710446.83338,2250061.46528,157243,161562,165436,168649,171854,175122,178903,182447,185812,188970,191916,194582,197006,,Medellín,16.4548741085,-43.9137333205
13,El Poblado,4716105.14138,2243895.50482,106805,108345,109600,110479,111343,112257,112850,113594,114223,114730,115127,115272,115267,,Medellín,16.4017466442,-43.8813977145
14,Guayabal,4713893.91311,2245262.80416,64651,65011,65146,65024,64856,64713,64509,64320,64052,63691,63261,62714,62086,,Medellín,16.4150006904,-43.8957011995
15,Belén,4712464.64641,2246614.07443,202931,206745,210015,212479,214967,217501,219847,222266,224468,226416,228107,229308,230195,,Medellín,16.4269351455,-43.9042001996
16,San Sebastián de Palmitas,4702567.67333,2257955.73181,5474,5689,5885,6073,6281,6485,6712,6936,7151,7365,7577,7787,7989,,Medellín,16.5239360058,-43.9598788711
17,San Cristóbal,4708034.05019,2253812.22202,116420,123483,130514,137277,144316,151677,160320,168924,177709,186673,195761,205111,214593,,Medellín,16.4856170013,-43.925722777
18,Altavista,4708517.33001,2246822.65982,38856,40150,41350,42442,43556,44665,45978,47189,48379,49542,50641,51659,52627,,Medellín,16.4345325062,-43.933317609
19,San Antonio de Prado,4704270.35209,2245613.06363,94801,99358,103822,107996,112336,116838,121944,126953,131958,137011,142026,146934,151793,,Medellín,16.4323732947,-43.9669525077
20,Santa Elena,4721626.54433,2247611.58949,23468,24953,26464,27916,29413,31002,32855,34715,36606,38536,40509,42551,44644,,Medellín,16.419955425,-43.8342932566
